Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-04-2024,1,nr,34,nr,nr,nr,16,nr,67,nr,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,nr,18,nr,28,nr,23,38,39,nr,nr,nr,nr,nr,15,nr,nr,nr,35,nr,nr,
01-04-2024,2,nr,30,19,nr,nr,30,26,40,nr,nr,nr,nr,nr,41,nr,nr,19,nr,nr,nr,26,nr,30,nr,20,32,32,nr,nr,nr,nr,nr,10,nr,nr,27,36,nr,nr,
01-04-2024,3,nr,28,24,nr,nr,14,30,33,nr,nr,nr,nr,nr,31,nr,nr,16,nr,nr,nr,22,nr,28,nr,24,32,28,nr,nr,nr,nr,nr,21,nr,nr,8,31,nr,nr,
01-04-2024,4,nr,24,17,nr,nr,20,33,29,nr,nr,nr,nr,nr,28,nr,nr,16,nr,nr,nr,22,nr,17,nr,20,33,27,nr,nr,nr,nr,nr,22,nr,nr,28,33,nr,nr,
01-04-2024,5,nr,25,18,nr,nr,19,26,33,nr,nr,nr,nr,nr,27,nr,nr,26,nr,nr,nr,28,nr,24,nr,9,39,27,nr,nr,nr,nr,nr,19,nr,nr,28,27,nr,nr,
01-04-2024,6,nr,25,9,nr,nr,25,29,33,nr,nr,nr,nr,nr,30,nr,nr,15,nr,nr,nr,20,nr,27,nr,7,36,33,nr,nr,nr,nr,nr,18,nr,nr,28,26,nr,nr,
01-04-2024,7,nr,20,7,nr,nr,31,22,37,nr,nr,nr,nr,nr,32,nr,nr,15,nr,nr,nr,27,nr,17,nr,15,31,42,nr,nr,nr,nr,nr,23,nr,nr,20,20,nr,nr,
01-04-2024,8,nr,20,10,nr,nr,31,21,33,nr,nr,nr,nr,nr,37,nr,nr,14,nr,nr,nr,24,nr,23,41,12,nr,44,nr,nr,nr,nr,nr,22,nr,nr,29,25,nr,nr,
01-04-2024,9,nr,22,13,nr,nr,43,23,49,nr,nr,nr,nr,nr,46,nr,nr,13,nr,nr,nr,40,nr,17,35,19,nr,45,nr,nr,nr,nr,nr,25,nr,nr,20,25,nr,nr,
01-04-2024,10,nr,20,15,nr,nr,37,30,37,nr,nr,nr,nr,nr,24,nr,nr,17,nr,nr,nr,42,nr,21,34,25,28,35,nr,nr,nr,nr,nr,29,nr,nr,23,24,nr,nr,
01-04-2024,11,nr,16,13,nr,nr,33,27,28,nr,nr,nr,nr,nr,28,nr,nr,14,nr,nr,nr,31,nr,nr,26,16,32,40,nr,nr,nr,nr,nr,22,nr,nr,29,27,nr,nr,
01-04-2024,12,nr,24,17,nr,nr,15,19,6,nr,nr,nr,nr,nr,27,nr,nr,23,nr,nr,nr,18,nr,nr,23,23,27,28,nr,nr,nr,nr,nr,25,nr,nr,23,20,nr,nr,
01-04-2024,13,nr,19,24,nr,nr,7,20,21,nr,nr,nr,nr,nr,13,nr,nr,26,nr,nr,nr,20,nr,nr,20,10,26,17,nr,nr,nr,nr,nr,25,nr,nr,13,20,nr,nr,
