Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-03-2024,1,nr,15,nr,nr,18,18,nr,24,nr,nr,nr,nr,nr,nr,22,13,12,nr,nr,nr,28,nr,12,nr,27,18,24,nr,nr,nr,nr,nr,15,nr,nr,nr,24,nr,nr,
01-03-2024,2,nr,15,17,nr,23,19,21,25,nr,nr,nr,nr,nr,32,22,14,9,nr,nr,nr,30,nr,13,nr,22,22,22,nr,nr,nr,nr,nr,13,nr,nr,nr,25,nr,nr,
01-03-2024,3,nr,13,10,nr,23,20,24,27,nr,nr,nr,nr,nr,28,22,16,14,nr,nr,nr,32,nr,13,nr,24,30,25,nr,nr,nr,nr,nr,19,nr,nr,nr,22,nr,nr,
01-03-2024,4,nr,10,14,nr,18,13,18,31,nr,nr,nr,nr,nr,33,20,13,10,nr,nr,nr,28,nr,14,nr,18,28,26,nr,nr,nr,nr,nr,14,nr,nr,nr,26,nr,nr,
01-03-2024,5,nr,15,6,nr,22,18,18,27,nr,nr,nr,nr,nr,42,18,13,12,nr,nr,nr,35,nr,13,nr,17,30,29,nr,nr,nr,nr,nr,9,nr,nr,nr,25,nr,nr,
01-03-2024,6,nr,9,11,nr,23,24,23,30,nr,nr,nr,nr,nr,35,31,16,12,nr,nr,nr,32,nr,12,nr,15,30,33,nr,nr,nr,nr,nr,16,nr,nr,nr,26,nr,nr,
01-03-2024,7,nr,11,10,nr,32,37,24,39,nr,nr,nr,nr,nr,33,98,21,14,nr,nr,nr,22,nr,14,nr,17,30,47,nr,nr,nr,nr,nr,16,nr,nr,nr,27,nr,nr,
01-03-2024,8,nr,14,15,nr,33,48,22,32,nr,nr,nr,nr,nr,32,34,28,8,nr,nr,nr,42,nr,11,nr,18,47,63,nr,nr,nr,nr,nr,17,nr,nr,nr,36,nr,nr,
01-03-2024,9,nr,15,11,nr,30,47,27,45,nr,nr,nr,nr,nr,44,33,22,10,nr,nr,nr,41,nr,11,33,17,45,58,nr,nr,nr,nr,nr,18,nr,nr,nr,35,nr,nr,
01-03-2024,10,nr,9,13,nr,31,41,25,53,nr,nr,nr,nr,nr,38,18,24,8,nr,nr,nr,40,nr,16,45,19,54,50,nr,nr,nr,nr,nr,21,nr,nr,nr,39,nr,nr,
01-03-2024,11,nr,16,12,nr,29,30,31,35,nr,nr,nr,nr,nr,23,29,29,4,nr,nr,nr,40,nr,16,37,21,48,27,nr,nr,nr,nr,nr,32,nr,nr,nr,40,nr,nr,
01-03-2024,12,nr,24,19,nr,34,36,24,18,nr,nr,nr,nr,nr,27,29,24,5,nr,nr,nr,45,nr,9,31,26,40,29,nr,nr,nr,nr,nr,34,nr,nr,nr,31,nr,nr,
01-03-2024,13,nr,15,18,nr,31,31,26,8,nr,nr,nr,nr,nr,10,48,19,7,nr,nr,nr,40,nr,14,21,20,32,38,nr,nr,nr,nr,nr,24,nr,nr,nr,22,nr,nr,
01-03-2024,14,nr,15,24,nr,20,29,19,13,nr,nr,nr,nr,nr,16,17,19,9,nr,nr,nr,24,nr,15,17,16,22,24,nr,nr,nr,nr,nr,25,nr,nr,nr,15,nr,nr,
01-03-2024,15,nr,14,16,nr,21,19,16,13,nr,nr,nr,nr,nr,12,41,15,6,nr,nr,nr,16,nr,7,19,23,22,22,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,
01-03-2024,16,nr,19,22,nr,17,20,17,14,nr,nr,nr,nr,nr,10,14,16,18,nr,nr,nr,22,nr,15,19,20,35,17,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,
01-03-2024,17,nr,11,19,nr,17,24,18,22,nr,nr,nr,nr,nr,20,22,1,24,nr,nr,nr,17,nr,12,21,16,31,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,
01-03-2024,18,nr,13,17,nr,21,19,18,22,nr,nr,nr,nr,nr,29,18,8,18,nr,nr,nr,18,nr,12,18,13,20,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,14,nr,nr,
01-03-2024,19,nr,13,14,nr,14,13,19,17,nr,nr,nr,nr,nr,20,16,6,4,nr,nr,nr,12,nr,10,nr,nr,19,16,nr,nr,nr,nr,nr,16,nr,nr,nr,16,nr,nr,
01-03-2024,20,nr,11,20,nr,15,8,22,16,nr,nr,nr,nr,nr,21,12,12,9,nr,nr,nr,17,nr,22,nr,14,27,17,nr,nr,nr,nr,nr,13,nr,nr,nr,18,nr,nr,
01-03-2024,21,nr,10,12,nr,15,8,16,19,nr,nr,nr,nr,nr,21,13,15,13,nr,nr,nr,18,nr,30,nr,10,25,21,nr,nr,nr,nr,nr,12,nr,nr,nr,19,nr,nr,
01-03-2024,22,nr,15,16,nr,10,17,13,22,nr,nr,nr,nr,nr,19,12,9,nr,nr,nr,nr,16,nr,13,nr,16,28,21,nr,nr,nr,nr,nr,14,nr,nr,nr,11,nr,nr,
