Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2024,1,nr,18,nr,nr,28,10,nr,31,nr,nr,nr,nr,nr,nr,21,21,23,nr,nr,nr,21,nr,133,nr,17,30,31,nr,nr,nr,nr,nr,19,nr,nr,nr,31,nr,nr,
01-05-2024,2,nr,20,32,nr,29,24,37,27,nr,nr,nr,nr,nr,43,18,22,21,nr,nr,nr,25,nr,62,nr,14,29,32,nr,nr,nr,nr,nr,27,nr,nr,23,28,nr,nr,
01-05-2024,3,nr,23,24,nr,27,20,30,29,nr,nr,nr,nr,nr,38,27,27,21,nr,nr,nr,30,nr,33,nr,27,31,30,nr,nr,nr,nr,nr,17,nr,nr,28,36,nr,nr,
01-05-2024,4,nr,19,22,nr,nr,23,27,30,nr,nr,nr,nr,nr,32,26,27,19,nr,nr,nr,26,nr,35,nr,nr,37,30,nr,nr,nr,nr,nr,31,nr,nr,33,40,nr,nr,
01-05-2024,5,nr,21,25,nr,33,32,24,34,nr,nr,nr,nr,nr,33,32,32,16,nr,nr,nr,30,nr,43,nr,25,31,33,nr,nr,nr,nr,nr,21,nr,nr,32,38,nr,nr,
01-05-2024,6,nr,20,26,nr,36,41,23,31,nr,nr,nr,nr,nr,37,31,32,19,nr,nr,nr,37,nr,40,nr,29,31,28,nr,nr,nr,nr,nr,16,nr,nr,36,30,nr,nr,
01-05-2024,7,nr,22,24,nr,33,30,25,32,nr,nr,nr,nr,nr,34,25,33,19,nr,nr,nr,38,nr,41,nr,0,27,27,nr,nr,nr,nr,nr,29,nr,nr,33,32,nr,nr,
01-05-2024,8,nr,26,24,nr,30,42,25,30,nr,nr,nr,nr,nr,nr,31,30,23,nr,nr,nr,35,nr,36,nr,25,29,28,nr,nr,nr,nr,nr,31,nr,nr,35,36,nr,nr,
01-05-2024,9,nr,28,26,nr,34,31,25,27,nr,nr,nr,nr,nr,29,30,28,24,nr,nr,nr,34,nr,28,30,30,30,26,nr,nr,nr,nr,nr,36,nr,nr,27,41,nr,nr,
01-05-2024,10,nr,29,19,nr,37,36,30,19,nr,nr,nr,nr,nr,22,27,26,17,nr,nr,nr,35,nr,23,34,36,30,22,nr,nr,nr,nr,nr,36,nr,nr,21,29,nr,nr,
